Prefix,Next Activity - Ground Truth,Role Prefix,Next Role,Time Between Prefix,Next Activity - Prediction,Correct Prediction
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.11738556703526186]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.11738556703526186, 0.7452013313460927]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.11738556703526186, 0.7452013313460927, 0.9510578324028015]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -0.8169045863490754]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8169045863490754, -0.5045718034828603]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.8169045863490754, -0.5045718034828603, 1.0748800431365488]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.0561635355351071]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.0561635355351071, 0.8666965529015623]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.15814365375161762]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.15814365375161762, 0.473052809321266]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.9729737036015484]",12,1
"[1, 1, 12]",14,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9729737036015484, -1.117291467080468]",10,0
"[1, 1, 12, 14]",12,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.9729737036015484, -1.117291467080468, 0.016127425157350005]",10,0
"[1, 1, 12, 14, 12]",8,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.9729737036015484, -1.117291467080468, 0.016127425157350005, 0.7473386512170207]",10,0
"[1, 1, 12, 14, 12, 8]",8,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.9729737036015484, -1.117291467080468, 0.016127425157350005, 0.7473386512170207, 0.4965526489640552]",10,0
"[1, 1, 12, 14, 12, 8, 8]",10,"[1, 1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.9729737036015484, -1.117291467080468, 0.016127425157350005, 0.7473386512170207, 0.4965526489640552, 0.8202864182966361]",10,1
"[1, 1, 12, 14, 12, 8, 8, 10]",2,"[1, 1, 1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.9729737036015484, -1.117291467080468, 0.016127425157350005, 0.7473386512170207, 0.4965526489640552, 0.8202864182966361, 0.9774696645393114]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 1.0025650780802702]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 1.0025650780802702, 0.296018969010179]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.5060295344169006]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.5060295344169006, -0.3300909266869633]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9399036781947867]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9399036781947867, 0.027001174119393262]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.6889130181161]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, 0.6889130181161, 0.7841319109066344]",10,0
"[1, 12, 14, 12]",14,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.6889130181161, 0.7841319109066344, 0.08730936597524945]",10,0
"[1, 12, 14, 12, 14]",10,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.6889130181161, 0.7841319109066344, 0.08730936597524945, 0.886152504257321]",10,1
"[1, 12, 14, 12, 14, 10]",2,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.6889130181161, 0.7841319109066344, 0.08730936597524945, 0.886152504257321, 0.5508234498983222]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.8184963592132035]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.8184963592132035, 1.023557030572141]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.49449001928404085]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.49449001928404085, 0.6886078020721806]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 1.0393659030280828]",10,1
"[1, 12, 10]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 1.0393659030280828, 0.8631514365095094]",2,0
"[1, 12, 10, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 1.0393659030280828, 0.8631514365095094, -1.4224766107948632]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, -0.8431606202558036]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 1.0725758092838245]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 1.0725758092838245, 0.5492957284214509]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.048229782510454]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.048229782510454, 0.8220962079362845]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.6436240545874963]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.6436240545874963, -0.20585973537810204]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.40540906683604294]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.40540906683604294, 0.8824955467027844]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.7063036292302475]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.7063036292302475, -0.8611063683682496]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.7012936482936049]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.7012936482936049, 0.12638740780887114]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.848934972281269]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.848934972281269, -0.4242260550668818]",2,1
[1],14,[1],1,[-1.4224766107948632],12,0
"[1, 14]",12,"[1, 1]",1,"[-1.4224766107948632, -0.29880410133548974]",12,1
"[1, 14, 12]",14,"[1, 1, 1]",1,"[-1.4224766107948632, -0.29880410133548974, 0.6830955310352287]",10,0
"[1, 14, 12, 14]",12,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.29880410133548974, 0.6830955310352287, -1.0910354331737393]",12,1
